Base Class: "torch.utils.data.datapipes.dataframe.dataframes.CaptureF", Count: 2
Base Class: "torch._C.TensorBase", Count: 1
Base Class: "torch.storage._StorageBase", Count: 1
Base Class: "torch._C.ScriptObject", Count: 1
Base Class: "torch.storage.TypedStorage", Count: 1
Base Class: "torch.nn.modules.container.Sequential", Count: 1
Base Class: "torch.ao.nn.qat.modules.conv.Conv1d", Count: 1
Base Class: "torch.ao.nn.qat.modules.conv.Conv2d", Count: 1
Base Class: "torch.ao.nn.qat.modules.conv.Conv3d", Count: 1
Base Class: "torch.ao.nn.intrinsic.qat.modules.conv_fused.ConvBn1d", Count: 1
Base Class: "torch.ao.nn.intrinsic.qat.modules.conv_fused.ConvBn2d", Count: 1
Base Class: "torch.ao.nn.intrinsic.qat.modules.conv_fused.ConvBn3d", Count: 1
Base Class: "torch.ao.nn.quantized.modules.batchnorm.BatchNorm2d", Count: 1
Base Class: "torch.ao.nn.quantized.modules.batchnorm.BatchNorm3d", Count: 1
Base Class: "torch.ao.nn.quantized.dynamic.modules.linear.Linear", Count: 1
Base Class: "torch.ao.quantization.qconfig.QConfig.QConfig", Count: 1
Base Class: "torch.nn.modules.activation.MultiheadAttention", Count: 1
Base Class: "torch.nn.modules.activation.ELU", Count: 1
Base Class: "torch.ao.nn.quantized.modules.embedding_ops.Embedding", Count: 1
Base Class: "torch.nn.modules.normalization.GroupNorm", Count: 1
Base Class: "torch.nn.modules.activation.Hardswish", Count: 1
Base Class: "torch.nn.modules.instancenorm.InstanceNorm1d", Count: 1
Base Class: "torch.nn.modules.instancenorm.InstanceNorm2d", Count: 1
Base Class: "torch.nn.modules.instancenorm.InstanceNorm3d", Count: 1
Base Class: "torch.nn.modules.normalization.LayerNorm", Count: 1
Base Class: "torch.nn.modules.activation.LeakyReLU", Count: 1
Base Class: "torch.ao.nn.quantizable.modules.rnn.LSTM", Count: 1
Base Class: "torch.ao.nn.quantizable.modules.activation.MultiheadAttention", Count: 1
Base Class: "torch.nn.modules.activation.ReLU", Count: 1
Base Class: "torch.nn.modules.activation.Sigmoid", Count: 1
Base Class: "torch.nn.modules.activation.Softmax", Count: 1
Base Class: "torch.nn.modules.dropout.Dropout", Count: 1
Base Class: "torch.ao.nn.quantized.modules.conv.ConvTranspose1d", Count: 1
Base Class: "torch.ao.nn.quantized.modules.conv.ConvTranspose2d", Count: 1
Base Class: "torch.ao.nn.quantized.modules.conv.ConvTranspose3d", Count: 1
Base Class: "torch.fx.proxy.TracerBase", Count: 1
Base Class: "torch.ao.quantization.fake_quantize.FakeQuantizeBase", Count: 1
Base Class: "torch.ao.quantization.observer.MinMaxObserver", Count: 1
Base Class: "torch.ao.quantization.observer.PerChannelMinMaxObserver", Count: 1
Base Class: "torch.ao.quantization.qconfig.QConfigDynamic.QConfigDynamic", Count: 1
Base Class: "torch.ao.quantization.fx.fuse_handler.FuseHandler", Count: 1
Base Class: "torch.ao.quantization.fx.graph_module.ObservedGraphModule", Count: 1
Base Class: "torch.fx.passes.infra.pass_base.PassResult.PassResult", Count: 1
Base Class: "torch.ao.quantization.quantizer.x86_inductor_quantizer.X86InductorQuantizer", Count: 1
Base Class: "torch.autograd.function._SingleLevelFunction", Count: 1
Base Class: "torch._C._LegacyVariableBase", Count: 1
Base Class: "builtins.list", Count: 1
Base Class: "torch.autograd.profiler._ContextDecorator", Count: 1
Base Class: "collections.defaultdict", Count: 1
Base Class: "contextlib.AbstractContextManager", Count: 1
Base Class: "torch._C._CUDAGraph", Count: 1
Base Class: "torch._C._CudaStreamBase", Count: 1
Base Class: "torch._C._CudaEventBase", Count: 1
Base Class: "torch.cuda.streams.Stream", Count: 1
Base Class: "torch.cuda.device", Count: 1
Base Class: "torch.cuda.memory._CUDAAllocator", Count: 1
Base Class: "torch._C.Future", Count: 1
Base Class: "torch._C._distributed_c10d.AllreduceOptions", Count: 1
Base Class: "torch.distributed.checkpoint.planner.SavePlanner", Count: 1
Base Class: "torch.distributed.checkpoint.planner.LoadPlanner", Count: 1
Base Class: "torch.distributed.checkpoint.filesystem._FileSystemWriter", Count: 1
Base Class: "torch.distributed.checkpoint.staging.BlockingAsyncStager", Count: 1
Base Class: "torch.distributed.checkpoint.storage.StorageWriter", Count: 1
Base Class: "torch.distributed.checkpoint.default_planner.DefaultLoadPlanner", Count: 1
Base Class: "torch.distributed.checkpoint._fsspec_filesystem.FsspecWriter", Count: 1
Base Class: "torch.distributed.checkpoint.filesystem.FileSystemWriter", Count: 1
Base Class: "torch.distributed.checkpoint._fsspec_filesystem.FsspecReader", Count: 1
Base Class: "torch.distributed.checkpoint.filesystem.FileSystemReader", Count: 1
Base Class: "torch.distributed._shard.sharded_tensor.api.ShardedTensorBase", Count: 1
Base Class: "torch.nn.modules.module._IncompatibleKeys.IncompatibleKeys", Count: 1
